branch,beverage,conscount
Branch9,Special_Lite,21
Branch9,Triple_Espresso,38
Branch9,Triple_Espresso,38
Branch9,Mild_LATTE,73
Branch9,Mild_LATTE,73
Branch9,LARGE_Coffee,144
Branch9,LARGE_Coffee,144
Branch9,Cold_cappuccino,287
Branch9,Cold_cappuccino,287
Branch9,SMALL_cappuccino,574
Branch9,SMALL_cappuccino,574
Branch9,SMALL_cappuccino,574
Branch9,ICY_LATTE,113
Branch9,Double_cappuccino,228
Branch9,Double_cappuccino,228
Branch9,Double_cappuccino,228
Branch9,MED_MOCHA,459
Branch9,MED_MOCHA,459
Branch9,Special_cappuccino,922
Branch9,Special_cappuccino,922
Branch9,Mild_Coffee,596
Branch9,LARGE_MOCHA,163
Branch9,Cold_Espresso,334
Branch9,Cold_Espresso,334
Branch9,SMALL_Espresso,677
Branch9,SMALL_Espresso,677
Branch9,ICY_Coffee,328
Branch9,ICY_Coffee,328
Branch9,Double_LATTE,667
Branch9,MED_cappuccino,310
Branch9,MED_cappuccino,310
Branch9,Special_Espresso,633
Branch9,Triple_cappuccino,244
Branch9,Triple_cappuccino,244
Branch9,Triple_cappuccino,244
Branch9,Mild_MOCHA,503
Branch9,Mild_MOCHA,503
Branch9,LARGE_cappuccino,1022
Branch9,LARGE_cappuccino,1022
Branch9,LARGE_cappuccino,1022
Branch9,Cold_Lite,1025
Branch9,SMALL_Lite,1032
Branch9,ICY_MOCHA,1047
Branch9,Double_Coffee,42
Branch9,MED_Espresso,105
Branch9,MED_Espresso,105
Branch9,Special_Lite,232
Branch9,Triple_LATTE,487
Branch9,Mild_cappuccino,998
Branch9,Mild_cappuccino,998
Branch9,LARGE_Espresso,985
Branch9,Cold_cappuccino,960
Branch9,Cold_cappuccino,960
Branch9,SMALL_cappuccino,911
Branch9,SMALL_cappuccino,911
Branch9,SMALL_cappuccino,911
Branch9,ICY_cappuccino,814
Branch9,ICY_cappuccino,814
Branch9,ICY_cappuccino,814
Branch9,Double_MOCHA,621
Branch9,MED_Lite,236
Branch9,Special_cappuccino,503
Branch9,Special_cappuccino,503
Branch9,Triple_Coffee,1038
Branch9,Mild_Espresso,37
Branch9,Mild_Espresso,37
Branch9,LARGE_Lite,108
Branch9,Cold_LATTE,251
Branch9,SMALL_LATTE,538
Branch9,ICY_Espresso,77
Branch9,Double_cappuccino,192
Branch9,Double_cappuccino,192
Branch9,Double_cappuccino,192
Branch9,MED_cappuccino,423
Branch9,MED_cappuccino,423
Branch9,Special_LATTE,886
Branch9,Triple_MOCHA,777
Branch9,Triple_MOCHA,777
Branch9,Mild_Lite,560
Branch9,LARGE_cappuccino,127
Branch9,LARGE_cappuccino,127
Branch9,LARGE_cappuccino,127
Branch9,Cold_Coffee,298
Branch9,SMALL_Coffee,641
Branch9,ICY_Lite,292
Branch9,Double_Espresso,631
Branch9,Double_Espresso,631
Branch9,MED_LATTE,274
Branch9,Special_Coffee,597
Branch9,Special_Coffee,597
Branch9,Triple_cappuccino,208
Branch9,Triple_cappuccino,208
Branch9,Triple_cappuccino,208
Branch9,Mild_cappuccino,467
Branch9,Mild_cappuccino,467
Branch9,LARGE_LATTE,986
Branch9,Cold_MOCHA,989
Branch9,Cold_MOCHA,989
Branch9,SMALL_MOCHA,996
Branch9,ICY_cappuccino,1011
Branch9,ICY_cappuccino,1011
Branch9,ICY_cappuccino,1011
Branch9,Double_Lite,1042
Branch9,Special_MOCHA,196
Branch9,Triple_Espresso,451
Branch9,Triple_Espresso,451
Branch9,Mild_LATTE,962
Branch9,Mild_LATTE,962
Branch9,LARGE_Coffee,949
Branch9,LARGE_Coffee,949
Branch9,Cold_cappuccino,924
Branch9,Cold_cappuccino,924
Branch9,SMALL_cappuccino,875
Branch9,SMALL_cappuccino,875
Branch9,SMALL_cappuccino,875
Branch9,ICY_LATTE,778
Branch9,Double_cappuccino,585
Branch9,Double_cappuccino,585
Branch9,Double_cappuccino,585
Branch9,MED_MOCHA,200
Branch9,MED_MOCHA,200
Branch9,Special_cappuccino,467
Branch9,Special_cappuccino,467
Branch9,Mild_Coffee,1037
Branch9,LARGE_MOCHA,72
Branch9,Cold_Espresso,215
Branch9,Cold_Espresso,215
Branch9,SMALL_Espresso,502
Branch9,SMALL_Espresso,502
Branch9,ICY_Coffee,41
Branch9,ICY_Coffee,41
Branch9,Double_LATTE,156
Branch9,MED_cappuccino,387
Branch9,MED_cappuccino,387
Branch9,Special_Espresso,850
Branch9,Triple_cappuccino,741
Branch9,Triple_cappuccino,741
Branch9,Triple_cappuccino,741
Branch9,Mild_MOCHA,524
Branch9,Mild_MOCHA,524
Branch9,LARGE_cappuccino,91
Branch9,LARGE_cappuccino,91
Branch9,LARGE_cappuccino,91
